,S,E,E_delta,I,I_delta,R,E+I
2020-05-05,199810373.4148055,61659.65601717165,19075.63989753511,87051.17758691835,12895.81732004538,40915.75159032581,148710.83360409
2020-05-06,199789173.88895485,68526.91713818244,21199.525850658498,96751.96691487887,14332.264729647704,45547.226992013,165278.8840530613
2020-05-07,199765614.43504578,76157.86964176617,23559.453909065858,107532.87161629925,15928.501405482126,50694.823696074745,183690.74125806542
2020-05-08,199739432.87958023,84637.1734332508,26181.55546554225,119513.93876914345,17702.251674057607,56416.00821728815,204151.11220239426
2020-05-09,199710338.0486624,94058.81033787307,29094.830917846,132828.5069382153,19673.194013223736,62774.63406144007,226887.31727608835
2020-05-10,199678006.5896371,104527.09566103113,32331.459025306092,147624.66581551588,21863.173702148037,69841.64888628753,252151.761476547
2020-05-11,199642079.45134905,116157.79599914218,35927.138288038936,164066.87333043123,24296.437949927877,77695.87932130005,280224.6693295734
2020-05-12,199602157.9880054,129079.36362154977,39921.46334366308,182337.74654876988,26999.8957212555,86424.90182421688,311417.1101703197
2020-05-13,199557799.64842808,143434.2985408192,44358.33957730549,202640.04421033253,30003.404658036055,96126.00882069027,346074.34275115177
2020-05-14,199508513.20909443,159380.6501933767,49286.43933364734,225198.86038915155,33340.087681089855,106907.2803229611,384579.51058252825
2020-05-15,199453753.50579736,177093.67144735676,54759.703297076434,250264.05049506036,37046.68204309636,118888.77226014865,427357.7219424171
2020-05-16,199392915.61503968,196767.63841634186,60837.89075769253,278112.91266226186,41163.92378870744,132203.83388165457,474880.5510786037
2020-05-17,199325328.43244562,218617.8502555797,67587.18259407353,309053.1494774477,45736.970754835704,147000.56782130446,527670.9997330273
2020-05-18,199250247.5915837,242882.8237111541,75080.8408619196,343426.13696767035,50815.867406345176,163443.44773742696,586308.9606788245
2020-05-19,199166847.66272354,269826.69763089775,83399.92886015995,381610.52976917906,56456.05494041633,181715.1098763346,651437.2274000768
2020-05-20,199074213.5672968,299741.8628628875,92634.09542672914,424026.23339485744,62718.9301947394,202018.33644539563,723768.0962577449
2020-05-21,198971331.14033437,332951.83288017986,102882.4269624344,471138.77645856485,69672.45694514207,224578.2503268303,804090.6093387448
2020-05-22,198857076.77008155,369814.369974992,114254.37025280469,523464.11753182823,77391.83315799253,249644.7424115595,893278.4875068202
2020-05-23,198730206.04157668,410724.88083229144,126870.72850485469,581573.922913635,85960.21764755526,277495.15467730793,992298.8037459265
