date,new_patients,er,hospitalized,icu,recovered,dead
2020-05-24,0.005213428055194919,0,0.006465930662506579,0.4580925831611766,33499999.5324643,6499999.996579215
2020-05-25,0.0042441290765090345,0,0.005137683401412112,0.2660841224980425,33499999.72599546,6499999.997233589
2020-05-26,0.0034850434025258657,0,0.004124719062293156,0.1605431117806826,33499999.832745623,6499999.997734408
2020-05-27,0.002885043434973649,0,0.0033436546174744554,0.10027465770889989,33499999.89398398,6499999.998122578
2020-05-28,0.0024066172369378715,0,0.002735140233733019,0.06464070332584396,33499999.930403344,6499999.998427006
2020-05-29,0.0020219604014976764,0,0.002256420085678433,0.042890954552395805,33499999.952794798,6499999.99866841
2020-05-30,0.001710263508567402,0,0.001876340250487188,0.029222583304689867,33499999.966991886,6499999.998861825
2020-05-31,0.0014558086037164358,0,0.0015719550306657736,0.020399306174800777,33499999.97625424,6499999.999018298
2020-06-01,0.0012466193675123632,0,0.0013261914205465806,0.014561141357716287,33499999.982459754,6499999.99914604
2020-06-02,0.001073494344377625,0,0.0011262229866625436,0.010609035611752611,33499999.98672135,6499999.999251216
2020-06-03,0.0009293079263807146,0,0.0009623251153949993,0.007876680500286268,33499999.989716172,6499999.999338507
2020-06-04,0.0008085003425693835,0,0.0008270606404952966,0.005950392642686969,33499999.991866432,6499999.999411499
2020-06-05,0.0007067023224130483,0,0.0007146946982997884,0.004567589838873006,33499999.993441477,6499999.999472967
2020-06-06,0.0006204565836419105,0,0.0006207702807192205,0.003558133181166861,33499999.994616844,6499999.999525073
2020-06-07,0.000547009531250697,0,0.0005417975587501813,0.0028096450602000935,33499999.99550926,6499999.999569519
2020-06-08,0.00048415428847478506,0,0.00047502451306429184,0.0022465565616354576,33499999.996197816,6499999.999607655
2020-06-09,0.0004301115527898683,0,0.0004182661945973645,0.0018171915467405952,33499999.99673706,6499999.999640556
2020-06-10,0.0003834385345369299,0,0.00036977662641594683,0.0014856530048794534,33499999.997165244,6499999.999669089
2020-06-11,0.0003429588960291997,0,0.0003281519732740402,0.0012266349662003728,33499999.997509614,6499999.999693955
2020-06-12,0.0003077085041287761,0,0.0002922568192057521,0.001022049340002361,33499999.997789863,6499999.999715726
2020-06-13,0.0002768931698554842,0,0.00026116765141285695,0.0008587980890237345,33499999.99802044,6499999.999734868
2020-06-14,0.00024985553269631317,0,0.00023412924839882367,0.0007272799259974098,33499999.99821207,6499999.99975177
2020-06-15,0.00022604896420784946,0,0.0002105208128494616,0.0006203752900832067,33499999.99837281,6499999.999766749
2020-06-16,0.00020501689139915735,0,0.00018982951215495527,0.0005327472607702712,33499999.99850881,6499999.999780074
2020-06-17,0.00018637632871895972,0,0.0001716296858434828,0.0004603540279684549,33499999.998624783,6499999.999791968
2020-06-18,0.00016980469606977036,0,0.00015556641477562573,0.00040010485944776657,33499999.99872441,6499999.999802618
2020-06-19,0.00015502921607488658,0,0.00014134246728241174,0.0003496145976108495,33499999.99881056,6499999.999812185
2020-06-20,0.00014181834615576572,0,0.0001287078745745992,0.0003070265979580657,33499999.998885527,6499999.999820802
2020-06-21,0.000129974823788854,0,0.00011745156443305369,0.0002708837357371896,33499999.998951133,6499999.999828586
2020-06-22,0.00011932999673955237,0,0.0001073946146361426,0.00024003352728116194,33499999.999008857,6499999.999835636
2020-06-23,0.00010973918152773531,0,9.838478745483734e-05,0.0002135577054631292,33499999.99905989,6499999.999842034
2020-06-24,0.00010107784831440644,0,9.029208229076532e-05,0.00019071949150135763,33499999.99910521,6499999.999847855
2020-06-25,9.323847284415468e-05,0,8.300510129402366e-05,0.0001709237891775865,33499999.999145634,6499999.999853165
2020-06-26,8.612792903163847e-05,0,7.642806708044132e-05,0.00015368689716697005,33499999.999181822,6499999.999858016
