,S,E,E_delta,I,I_delta,R,E+I
2020-08-07,784197.0119329751,0.00029404290353148666,0.00010628707755021182,0.008175349431540453,0.00017323749915766425,59677630.979597665,0.00846939233507194
2020-08-08,784197.0118464002,0.00023950921831443456,8.65748996390462e-05,0.006659135550204441,0.00014110858485609832,59677630.98125499,0.006898644768518876
2020-08-09,784197.0117758816,0.00019508944093036317,7.051857498028397e-05,0.005424121213061207,0.00011493835236435536,59677630.98260494,0.0056192106539915705
2020-08-10,784197.0117184415,0.00015890782923263572,5.7440082957804674e-05,0.004418154685704598,9.362169465553212e-05,59677630.98370453,0.004577062514937233
2020-08-11,784197.0116716543,0.00012943651932960848,4.6787149785222404e-05,0.0035987563809882885,7.625845968824965e-05,59677630.98460019,0.003728192900317897
2020-08-12,784197.0116335443,0.0001054310075052254,3.810992728991019e-05,0.0029313250465354645,6.211543911429326e-05,59677630.98532973,0.00303675605404069
2020-08-13,784197.0116025023,8.587759776994291e-05,3.104199688850618e-05,0.00238767663569108,5.059540662378868e-05,59677630.985923976,0.002473554233461023
2020-08-14,784197.0115772174,6.9950595876251e-05,2.5284896596693672e-05,0.0019448541618932113,4.1211898490385577e-05,59677630.98640801,0.0020148047577694624
2020-08-15,784197.0115566219,5.6977442203240876e-05,2.05955176854593e-05,0.0015841582794287501,3.356867135846943e-05,59677630.98680227,0.001641135721631991
2020-08-16,784197.0115398461,4.641031115435468e-05,1.6775838774422305e-05,0.0012903576542917636,2.73429698233085e-05,59677630.987123415,0.0013367679654461182
2020-08-17,784197.0115261815,3.780297777802631e-05,1.3664563857270111e-05,0.0010510457809735833,2.227189723359848e-05,59677630.987385,0.0010888487587516096
2020-08-18,784197.0115150511,3.07919747432971e-05,1.1130311152887684e-05,0.0008561170850789857,1.8141314187616893e-05,59677630.98759807,0.0008869090598222828
2020-08-19,784197.011505985,2.5081243974040222e-05,9.06606516347034e-06,0.0006973401888210962,1.4776795932727222e-05,59677630.98777162,0.0007224214327951364
2020-08-20,784197.0114986004,2.0429634816599627e-05,7.3846576631540965e-06,0.0005680103194062049,1.2036266820594693e-05,59677630.98791299,0.0005884399542228046
2020-08-21,784197.0114925853,1.6640720818026114e-05,6.0150867900003676e-06,0.0004626661823367155,9.80400078857388e-06,59677630.98802814,0.00047930690315474157
2020-08-22,784197.0114876857,1.3554505101536496e-05,4.899518805294669e-06,0.0003768593438614712,7.985734521784286e-06,59677630.988121934,0.0003904138489630077
2020-08-23,784197.0114836949,1.104066407681717e-05,3.990845911545297e-06,0.0003069663841397939,6.504686936264623e-06,59677630.98819833,0.0003180070482166111
2020-08-24,784197.0114804442,8.993044183036248e-06,3.2506970016118806e-06,0.0002500358887916497,5.298316895392803e-06,59677630.98826056,0.00025902893297468597
2020-08-25,784197.0114777964,7.325179275036673e-06,2.6478173376041704e-06,0.00020366381764900092,4.315682245603745e-06,59677630.988311246,0.0002109889969240376
2020-08-26,784197.0114756397,5.966639362530648e-06,2.156748737223148e-06,0.00016589198782549053,3.5152886497291724e-06,59677630.98835253,0.00017185862718802118
2020-08-27,784197.011473883,4.8600565181869074e-06,1.7567545349351145e-06,0.00013512538428459906,2.8633373792788555e-06,59677630.98838616,0.00013998544080278598
2020-08-28,784197.011472452,3.958702365743267e-06,1.4309439216317122e-06,0.000110064806127143,2.332298074075352e-06,59677630.98841356,0.00011402350849288627
2020-08-29,784197.0114712864,3.2245148511968945e-06,1.1655586857107753e-06,8.965200441013986e-05,1.899746200257148e-06,59677630.98843587,9.287651926133675e-05
2020-08-30,784197.011470337,2.626490972286521e-06,9.493922363407914e-07,7.302499479688951e-05,1.547416115251165e-06,59677630.988454044,7.565148576917603e-05
2020-08-31,784197.0114695637,2.139377595034025e-06,7.733163756355273e-07,5.9481657997178644e-05,1.2604297528880234e-06,59677630.98846885,6.162103559221267e-05
2020-09-01,784197.0114689338,1.7426050736243053e-06,6.298958364470036e-07,4.8450090930289176e-05,1.026668357856723e-06,59677630.9884809,5.019269600391348e-05
2020-09-02,784197.0114684207,1.4194186429131087e-06,5.130743086194896e-07,3.9464456610549745e-05,8.362607393306864e-07,59677630.98849072,4.0883875253462854e-05
2020-09-03,784197.0114680028,1.1561709043227858e-06,4.1791869533582226e-07,3.214531295321613e-05,6.811664339261452e-07,59677630.988498725,3.3301483857538913e-05
2020-09-04,784197.0114676624,9.417455284787409e-07,3.404108001064275e-07,2.6183589832678782e-05,5.548361759504724e-07,59677630.988505244,2.7125335361157524e-05
2020-09-05,784197.0114673851,7.670878389119312e-07,2.7727764783528343e-07,2.1327537782062752e-05,4.5193533740209314e-07,59677630.98851055,2.2094625620974682e-05
2020-09-06,784197.0114671593,6.248224544874202e-07,2.258532748227593e-07,1.7372097208672622e-05,3.681186592472703e-07,59677630.98851487,1.7996919663160044e-05
2020-09-07,784197.0114669753,5.089418445030779e-07,1.8396615142404032e-07,1.4150239212394415e-05,2.998467614083826e-07,59677630.988518395,1.4659181056897493e-05
2020-09-08,784197.0114668255,4.145526448768631e-07,1.4984748348826665e-07,1.1525912350296014e-05,2.442366831144815e-07,59677630.98852126,1.1940464995172877e-05
2020-09-09,784197.0114667035,3.3766902295528014e-07,1.220565203650438e-07,9.388297505977335e-06,1.9894014228662676e-07,59677630.9885236,9.725966528932614e-06
2020-09-10,784197.0114666041,2.7504436522759845e-07,9.941971541209965e-08,7.647128260391123e-06,1.6204437313978134e-07,59677630.9885255,7.922172625618721e-06
2020-09-11,784197.011466523,2.2403418051609143e-07,8.09811698962205e-08,6.228879154462263e-06,1.3199135460772753e-07,59677630.98852705,6.452913334978354e-06
2020-09-12,784197.011466457,1.8248442936827675e-07,6.596226765061259e-08,5.073660882851459e-06,1.0751201879842727e-07,59677630.98852831,5.256145312219736e-06
2020-09-13,784197.0114664033,1.4864056406551135e-07,5.372879595573966e-08,4.1326913102393074e-06,8.757266125850505e-08,59677630.98852934,4.2813318743048186e-06
2020-09-14,784197.0114663595,1.2107343822264043e-07,4.376416423619925e-08,3.366235517129942e-06,7.133129007907018e-08,59677630.988530174,3.4873089553525826e-06
2020-09-15,784197.0114663239,9.861895731632929e-08,3.5647589662549205e-08,2.7419278881806682e-06,5.810207056886035e-08,59677630.98853086,2.8405468454969976e-06
2020-09-16,784197.0114662949,8.032892172662716e-08,2.9036328487644277e-08,2.2334053888163146e-06,4.7326364077346416e-08,59677630.98853142,2.313734310542942e-06
2020-09-17,784197.0114662712,6.543098650967203e-08,2.365120278884227e-08,1.8191943166322525e-06,3.8549138005797386e-08,59677630.98853187,1.8846253031419245e-06
2020-09-18,784197.011466252,5.329604709744038e-08,1.926481144463474e-08,1.4818035177308646e-06,3.139975085686639e-08,59677630.98853224,1.535099564828305e-06
2020-09-19,784197.0114662363,4.341167369978023e-08,1.569192752312866e-08,1.2069857766620478e-06,2.557630092078881e-08,59677630.988532536,1.2503974503618281e-06
2020-09-20,784197.0114662235,3.536047260635792e-08,1.2781676586806182e-08,9.83136190211881e-07,2.08328776802285e-08,59677630.98853278,1.018496662818239e-06
2020-09-21,784197.0114662132,2.880246063747882e-08,1.041116562187236e-08,8.008021197875011e-07,1.6969177590751457e-08,59677630.98853298,8.296045804249799e-07
2020-09-22,784197.0114662047,2.3460708458527757e-08,8.480293556945778e-09,6.522840288464494e-07,1.382204573589684e-08,59677630.98853315,6.757447373049772e-07
2020-09-23,784197.0114661978,1.9109646509153827e-08,6.907524231570416e-09,5.31310349679217e-07,1.1258586180944347e-08,59677630.98853328,5.504199961883709e-07
