,S,E,E_delta,I,I_delta,R,E+I
2020-02-10,1439319270.0424032,845.9978922095872,404.12306051289664,595.9390042336906,330.35474115809944,3062.020700313687,1441.9368964432779
2020-02-11,1439318827.3149889,926.8129626938744,442.7274143330369,652.8669529313182,361.91234384874974,3367.005095464809,1579.6799156251927
2020-02-12,1439318342.2955372,1015.3479139648969,485.01945167784606,715.2329758775963,396.48450040682354,3701.1235729253544,1730.5808898424932
2020-02-13,1439317810.9441075,1112.3401724454102,531.3514297607397,783.5565378245111,434.3591712802263,4067.159182258666,1895.8967102699212
2020-02-14,1439317228.834855,1218.5976023206854,582.1092525262804,858.4067226276848,475.85182265100536,4468.160820106497,2077.00432494837
2020-02-15,1439316591.119171,1335.005232948326,637.7156841411904,940.4069724325193,521.3080535135499,4907.468623815213,2275.412205380845
2020-02-16,1439315892.4853015,1462.5326286552884,698.6338693233034,1030.2402794233028,571.1064736163411,5388.74179044077,2492.772908078591
2020-02-17,1439315127.1141117,1602.2419622347556,765.3711897921986,1128.6548733356353,625.6618562127313,5915.989052741169,2730.896835570391
2020-02-18,1439314288.6306229,1755.296859301975,838.4834889171187,1236.4704520529822,685.4285918498995,6493.602065873722,2991.767311354957
2020-02-19,1439313370.050923,1922.9720870709932,918.5796996952282,1354.5850071209625,750.90447192621,7126.391982731951,3277.557094191956
2020-02-20,1439312363.7240086,2106.664168126162,1006.3269145414579,1483.9823009553543,822.6348334862889,7819.629522383849,3590.6464690815164
2020-02-21,1439311261.2680695,2307.9030074410034,1102.4559390376292,1625.740057932453,901.2170997227879,8579.088865129537,3933.6430653734565
2020-02-22,1439310053.5006938,2528.364629305598,1207.767375803312,1781.0389374779525,987.3057539387171,9411.095739522754,4309.403566783551
2020-02-23,1439308730.3624048,2769.8851300311144,1323.1382890468744,1951.1723637616392,1081.617788321358,10322.580101560425,4721.057493792754
2020-02-24,1439307280.8328996,3034.475962381807,1449.5295051683452,2137.5572937132247,1184.9386728176523,11321.133844426491,5172.033256095032
2020-02-25,1439305692.8392894,3324.340678723316,1587.993610055371,2341.7460128578887,1298.1288937138618,12415.074018995689,5666.086691581205
2020-02-26,1439303953.15558,3641.8932719614522,1739.6837094826174,2565.439056992307,1422.1311162444815,13613.512091105753,6207.332328953759
2020-02-27,1439302047.2925546,3989.7782665764034,1905.8630253403862,2810.499367052747,1557.9780307254348,14926.429811770748,6800.27763362915
2020-02-28,1439299959.3771472,4370.892726540999,2087.9154073311934,3078.9677947424334,1706.8009473665975,16364.762331447659,7449.860521283433
2020-02-29,1439297672.0203,4788.410362765839,2287.356847339577,3373.0800876689586,1869.8392111147377,17940.48924963587,8161.490450434798
2020-03-01,1439295166.1722078,5245.807940067034,2505.848091961459,3695.2854949849743,2048.4505146602633,19666.734356980116,8941.093435052007
2020-03-02,1439292420.9637501,5746.894202644029,2745.2084577416404,4048.267147925997,2244.1221951646453,21557.87489920374,9795.161350570026
2020-03-03,1439289413.5327866,6295.841557838227,3007.4309635841178,4434.964384306255,2458.4836083899195,23629.6612712134,10730.805942144481
2020-03-04,1439286118.833881,6897.22078068462,3294.698905648996,4858.597202085324,2693.319682802604,25899.348136236935,11755.817982769944
2020-03-05,1439282509.429869,7556.039026649792,3609.4040119182023,5322.693044683954,2950.5857659530307,28385.838059591333,12878.732071333747
