date,new_patients,er,hospitalized,icu,recovered,dead
2020-06-18,1855664.4054713962,0,1737249.8684406946,2208863.6295659677,12995336.499888156,2649660.79580663
2020-06-19,1648926.517517881,0,1565747.8820220553,2132855.2363199615,13470038.054911677,2752254.9239513297
2020-06-20,1457738.6178522413,0,1402095.8226911242,2047686.5069403576,13915452.4345269,2847209.056617091
2020-06-21,1282873.3660793824,0,1248238.2127314685,1954717.0809120205,14331732.885646138,2934330.3147017225
2020-06-22,1124460.2315905993,0,1105449.4707767258,1855311.4359508366,14719527.621377392,3013622.0122045167
2020-06-23,982134.9049975509,0,974420.0457056491,1750838.0374348292,15079825.17377769,3085254.2643908123
2020-06-24,855175.9047924363,0,855357.4537968322,1642669.2870209434,15413815.118728606,3149530.842721085
2020-06-25,742622.3199124766,0,748090.0091058676,1532177.423393181,15722774.241259152,3206855.492491762
2020-06-26,643370.4135120658,0,652164.5662207701,1420723.1048620422,16007983.37219426,3257700.2056753044
2020-06-27,556249.4230186231,0,566932.9449349737,1309635.4811824204,16270675.584580168,3302577.1228585397
2020-06-28,480078.47368968476,0,491624.48023879377,1200184.7256982124,16512012.653559027,3342014.968798006
2020-06-29,413707.3096809053,0,425404.19097206416,1093549.8358780574,16733083.969506385,3376540.2938737143
2020-06-30,356043.7778610951,0,367417.40966435685,990785.6827977193,16934920.619442366,3406663.3338979967
2020-07-01,306070.881643502,0,316822.4798840723,892793.6071260782,17118517.12550184,3432868.009619148
2020-07-02,262855.9130157236,0,272813.45338363736,800299.3209374655,17284854.192123584,3455605.4382895995
2020-07-03,225553.78101858465,0,234634.74948297231,713840.6697082099,17434917.454566747,3475290.2871800736
2020-07-04,193406.25440315192,0,201589.59119130933,633766.2567875794,17569709.236261602,3492299.3275781465
2020-07-05,165738.46523158788,0,173043.79429688328,560244.3908658631,17690252.301947862,3506971.6177543467
2020-07-06,141953.69810492374,0,148426.2167660965,493280.58436095883,17797586.211250186,3519609.8321086955
2020-07-07,121527.22251912682,0,127226.91319160702,432741.0818951274,17892757.94800019,3530482.3459028406
2020-07-08,103999.71182569633,0,108993.80281267376,378379.6659964358,17976808.991244227,3539825.7713015676
2020-07-09,88970.62567967393,0,93328.45850415208,329865.18931824144,18050760.992633462,3547847.7160349847
2020-07-10,76091.80640230188,0,79881.45967975917,286807.77217494487,18115601.88686691,3554729.599049686
2020-07-11,65061.44592598822,0,68347.62185291885,248782.2226648595,18172273.754293166,3560629.4081455516
2020-07-12,55618.512091928635,0,58461.31528883912,215347.85248668172,18221663.217654124,3565684.3239452345
2020-07-13,47537.675142283944,0,49992.00978632725,186064.38800140785,18264594.68237905,3570013.16423655
2020-07-14,40624.742418548085,0,42740.127297158375,160504.07193441826,18301826.369163338,3573718.624492126
2020-07-15,34712.58764409429,0,36533.24448342724,138260.31090116964,18334048.849195477,3576889.305835786
2020-07-16,29657.547682021734,0,31222.65974683226,118953.36464546694,18361885.663237743,3579601.5323222224
2020-07-17,25336.2519828622,0,26680.3207304723,102233.62174675088,18385895.561548643,3581920.966322969
2020-07-18,21642.846311545407,0,22796.09640586152,87782.99233871285,18406575.915831886,3583904.035034686
2020-07-19,18486.57146624463,0,19475.370763016002,75314.89626748476,18424366.903468773,3585599.183405123
