,S,E,E_delta,I,I_delta,R,E+I
2020-04-29,112.19078795547951,144.51872700040508,120.48730450655903,100565751.01061091,318.1313811203384,99433992.27987415,100565895.52933791
2020-04-30,57.18596685588954,65.15493253816587,55.00482109958997,95215379.90682448,134.3686155618292,104784497.75227612,95215445.06175703
2020-05-01,30.640520649841367,31.121530148673997,26.545446206048172,90149596.43709093,60.578848595540045,109850341.80085827,90149627.55862108
2020-05-02,17.174062535674423,15.652244037586787,13.466458114166944,85353301.53271794,28.935744225254155,114646665.64097549,85353317.18496197
2020-05-03,10.027670752355554,8.245709667878188,7.14639178331887,80812174.57027672,14.552926153027467,119187807.15634286,80812182.8159864
2020-05-04,6.077004738513798,4.529794226193584,3.9506660138417566,76512647.07772286,7.666581455526361,123487342.31547818,76512651.6075171
2020-05-05,3.810188790717087,2.5849609878478437,2.266815947796711,72441868.41564675,4.211649186142451,127558125.18920347,72441871.00060773
2020-05-06,2.4645466005905696,1.527194039050244,1.3456421901265174,68587669.8660093,2.403409138924117,131412326.14225006,68587671.39320333
2020-05-07,1.6404530027720288,0.931354366069325,0.8240935978185407,64938529.31395389,1.4199332707994599,135061468.11423874,64938530.24530826
2020-05-08,1.121103525704139,0.5847621111300577,0.5193494770678897,61483537.272545025,0.865941732007157,138516461.02158934,61483537.857307136
2020-05-09,0.7850580746895033,0.3771155650145352,0.33604545101463573,58212364.48601774,0.5436919971301583,141787634.3518086,58212364.863133304
2020-05-10,0.5622604882245082,0.24928387713172864,0.22279758646499506,55115231.15431581,0.3506292743478016,144884768.0341398,55115231.40359969
2020-05-11,0.4111819912197537,0.16858667179458797,0.15107849700475456,52182877.747398436,0.23177570234189523,147817121.67283288,52182877.91598511
2020-05-12,0.3065762387120746,0.11644624917749051,0.10460575250767905,49406537.349359915,0.1567461751247765,150593462.22761756,49406537.465806164
2020-05-13,0.23273204273082926,0.0820226682822946,0.07384419598124538,46777909.462473646,0.10826777687644129,153222090.2227716,46777909.54449631
2020-05-14,0.17965698839461025,0.0588358248663407,0.05307505433621901,44289135.19904925,0.0762618977521729,155710864.56245792,44289135.257885076
2020-05-15,0.14086564923990702,0.04292360762515703,0.03879133915470324,41932773.79004275,0.05470355639588691,158067226.026168,41932773.83296636
2020-05-16,0.11206832411970223,0.03181201677839957,0.02879732512020479,39701780.34179141,0.03990891596696225,160298219.51432824,39701780.37360343
2020-05-17,0.09037698736427077,0.023925618236375432,0.021691336755431466,37589484.775222875,0.029577735297455606,162410515.11047453,37589484.79914849
2020-05-18,0.07381480010995592,0.018242576338667597,0.016562187254314856,35589571.88503552,0.02224522915202269,164410428.0229071,35589571.9032781
2020-05-19,0.061007438585728824,0.01408860850589809,0.012807361524227092,33696062.45949058,0.0169613293569966,166303937.4654134,33696062.47357919
2020-05-20,0.05098541540361515,0.011011520870872952,0.010022023182113675,31903295.404516187,0.013099110817138812,168096704.5334869,31903295.41552771
2020-05-21,0.0430553829563942,0.00870341432144166,0.007930032447220946,30205910.81876488,0.010238138996652239,169794089.12947634,30205910.827468295
2020-05-22,0.036715038550164746,0.006951618993906131,0.0063403444062294576,28598833.969074342,0.008092139733764986,171401165.98725903,28598833.97602596
