,S,E,E_delta,I,I_delta,R,E+I
2020-03-14,60455410.9083541,1706.2099280824987,940.1094741245748,2267.616384661674,706.8612973983461,2443.265333151172,3973.826312744173
2020-03-15,60454321.93731103,1976.3859397904625,1088.9710430710165,2626.7158873533626,818.7950313630525,2902.9608618225357,4603.101827143825
2020-03-16,60453060.53964477,2289.333499809851,1261.3976662585912,3042.6731272180214,948.4501062392025,3435.4537281970793,5332.006627027873
2020-03-17,60451599.42208772,2651.8201885699323,1461.1175570518394,3524.48748225314,1098.6308682917584,4052.270241453719,6176.307670823073
2020-03-18,60449906.97407921,3071.6831776585122,1692.448008511997,4082.5816612464673,1272.585019423417,4766.761081883808,7154.264838904979
2020-03-19,60447946.585854866,3557.9978531418965,1960.3882243431074,4729.026450759968,1474.0735488597234,5594.389841230031,8287.024303901864
2020-03-20,60445675.85917098,4121.272883037736,2270.726683882541,5477.800821813157,1707.451653986701,6553.067124163543,9599.073704850893
2020-03-21,60443045.69387817,4773.675824350249,2630.1652928157323,6345.0929183946955,1977.7623515032194,7663.5373790852245,11118.768742744945
2020-03-22,60439999.230973504,5529.2939847706275,3046.4629046592104,7349.648295825322,2290.844744238832,8949.82674589343,12878.94228059595
2020-03-23,60436470.629792035,6404.435959868237,3528.6011814707754,8513.172748793497,2653.459206373166,10439.761499298422,14917.608708661734
2020-03-24,60432383.65359367,7417.980069776408,4086.9761983712147,9860.798182348657,3073.4320884630442,12165.568154206307,17278.778252125063
2020-03-25,60427650.03390342,8591.776830900179,4733.619690245417,11421.621252315244,3559.8229291216453,14164.568013361364,20013.398083215423
2020-03-26,60422167.57950782,9951.113628872161,5482.4543955980525,13229.325954099804,4123.117597626069,16479.980909202874,23180.439582971965
2020-03-27,60415817.9909311,11525.250919235794,6349.588576716547,15322.902991540439,4775.4512863529135,19161.85515811515,26848.153910776233
2020-03-28,60408464.335440286,13348.04058131477,7353.655490815632,17747.48063188621,5530.865828736657,22268.14334650604,31095.52121320098
2020-03-29,60399948.13108452,15458.638495271045,8516.204355770667,20555.283870811436,6405.606441814392,25865.946549395205,36013.92236608248
2020-03-30,60390085.98088879,17902.32500535255,9862.150195725664,23806.741113082928,7418.4636856441575,30032.952992767867,41709.06611843548
2020-03-31,60378665.69002733,20731.44867046462,11420.290861462152,27571.76023785178,8591.167196350087,34859.1010643491,48303.2089083164
2020-04-01,60365441.789540336,24006.510573791944,13223.900486989478,31931.198875089398,9948.838583662153,40448.50101077364,55937.709448881345
2020-04-02,60350130.379892714,27797.408439913037,15311.40964762035,36978.556975356674,11520.511781499257,46921.65469200562,64775.96541526971
2020-04-03,60332403.19639905,32184.861844828978,17727.18349366834,42821.923299376904,13339.7300887524,54418.01845673779,75006.78514420587
2020-04-04,60311880.786300614,37262.04182830847,20522.410098432876,49586.21125718996,15445.230114953383,63098.96061387811,86848.25308549844
2020-04-05,60275166.79486372,56094.309448393076,36713.99143688916,57415.723530248426,17881.72381680456,73151.17215762421,113510.03297864151
2020-04-06,60232681.653571315,71660.28850400739,42485.14129241088,72695.46052703715,26919.162236796565,84790.59739763205,144355.74903104454
2020-04-07,60178928.08574426,91024.71862450107,53753.56782705089,92347.63549817538,34389.13770655721,99527.56013305104,183372.35412267645
2020-04-08,60110703.95170457,115566.89646743989,68224.13403968983,117308.70247881768,43681.956196751,118248.44934915974,232875.59894625755
2020-04-09,60024137.45359845,146673.86461763547,86566.49810612063,148987.1880003696,55459.52995592506,142029.49378353287,295661.0526180051
2020-04-10,59914352.542292096,186071.28748948645,109784.91130635158,189171.7088534253,70387.48843450058,172232.46136497776,375242.99634291173
2020-04-11,59775211.62517307,235918.24190900841,139140.9171190234,240116.42108038033,89293.96269950141,210581.71183752414,476034.66298938874
2020-04-12,59599009.64366912,298905.1488177181,176201.98150395177,304654.6357455907,113215.07459524211,259258.57176755587,603559.7845633088
2020-04-13,59376107.29830856,378365.5608777082,222902.34536056084,386336.39885664056,143441.93330057073,321018.74195707677,764701.9597343488
2020-04-14,59094499.19131252,478399.386663383,281608.1069960362,489591.8267024406,181574.28121036137,399337.59532163804,967991.2133658236
2020-04-15,58739318.7687401,604000.1811021554,355180.4225724154,619920.4637374564,229579.62813364298,498588.5864202653,1223920.6448396118
2020-04-16,58292292.87276609,761171.7402275751,447025.89597400714,784103.3390286231,289854.33684858744,624260.047977686,1545275.0792561981
2020-04-17,57731177.39868738,957007.6384145151,561115.4740787124,990427.9870032015,365279.5758917724,783214.97589488,1947435.6254177166
2020-04-18,57029235.56995263,1199689.9783764363,701941.8287347503,1248906.0207750865,459259.488772829,983996.4308958241,2448595.9991515228
