,S,E,E_delta,I,I_delta,R,E+I
2020-04-15,212374259.3038693,31032.141693399382,31029.012094797516,74858.71549439189,25850.574062245116,79258.83894285001,105890.85718779126
2020-04-16,212337017.1724653,37245.88785408475,37242.131404001986,89858.30558474244,31028.385243316618,95287.63409581607,127104.19343882719
2020-04-17,212292320.6003356,44701.080755621624,44696.57212969775,107859.16801404954,37241.37922816088,114528.15089466985,152560.24876967116
2020-04-18,212238681.48202384,53644.529391027405,53639.118311761165,129459.96492844753,44695.669676355385,137623.02365662725,183104.49431947494
2020-04-19,212174316.40338972,64371.57232052116,64365.07863410848,155377.95167625492,53638.035704614726,165343.0726134346,219749.5239967761
2020-04-20,212097088.81313273,77235.38245517686,77227.59025699215,186472.1072497607,64363.780122336444,198612.69716226525,263707.48970493756
2020-04-21,212004440.2120173,92657.95048171707,92648.60111544764,223770.61567960223,77226.03308890744,238540.22182133116,316428.56616131926
2020-04-22,211893308.42604944,111143.00224061125,111131.78596784495,268503.44519097445,92646.73420895076,286454.1265189097,379646.4474315857
2020-04-23,211687333.848463,205988.03148028138,205974.57758644153,322140.8673049066,111129.54834677142,343946.25275174895,528128.898785188
2020-04-24,211440453.10696182,246905.67641431582,246880.74150116844,459126.95914617134,205963.096567134,412923.2574776182,706032.6355604872
2020-04-25,211088999.9961516,351482.9988165839,351453.1108102141,607694.1948524681,246875.788407946,511231.8101792675,959177.193669052
2020-04-26,210624594.65435022,464447.88892407564,464405.3418013846,829014.7840746815,351440.4516938928,641351.672650947,1293462.672998757
2020-04-27,209992447.95549998,632202.9204068383,632146.6988502333,1115897.2854759134,464391.6673674707,818860.8386171858,1748100.2058827518
2020-04-28,209144099.22590625,848425.257947329,848348.7295937223,1509087.0502771814,632126.3920532316,1057797.4658691494,2357512.3082245104
2020-04-29,208001467.11495918,1142734.8130796435,1142632.1109470634,2034282.9395824193,848322.555814749,1380924.1323786604,3177017.7526620626
2020-04-30,206469588.78894636,1532016.6544055485,1531878.3260128265,2741297.484258855,1142596.4846869216,1816506.072389146,4273314.138664404
2020-05-01,204420509.4385315,2049264.8014915464,2049079.3504148822,3686160.3494545775,1531831.2033288842,2403474.410522308,5735425.1509461235
2020-05-02,201692504.1624154,2728253.3402365083,2728005.2761161122,4945894.118874995,2049016.7373711506,3192757.378473042,7674147.459111503
2020-05-03,198081058.46330944,3611775.954993106,3611445.699105936,6614799.249788491,2727923.0843493384,4251775.331908884,10226575.204781597
2020-05-04,193337479.51631686,4744016.153557934,4743578.946992589,8809773.030521924,3611338.7484277613,5668140.299603213,13553789.184079858
2020-05-05,187171142.05245844,6166911.728440256,6166337.463858431,11666860.788014974,4743441.888976109,7554494.43108627,17833772.51645523
2020-05-06,179265458.57336012,7906429.985617322,7905683.47909832,15334910.454329696,6166165.221921254,10052609.986692803,23241340.439947017
2020-05-07,169313137.52919513,9953278.119892074,9952321.044165,19956862.71150526,7905472.909890248,13336130.639407486,29910140.831397332
2020-05-08,157080237.01550162,12234105.361002686,12232900.51369351,25635760.0127138,9952073.272582898,17609306.61078184,37869865.37371649
2020-05-09,142501689.33422288,14580028.623411253,14578547.68127874,32379239.405242026,12232624.418870172,23098451.63712379,46959268.02865328
2020-05-10,125797201.20828441,16706253.042787284,16704488.12593848,40024440.04482796,14578263.70656245,30031514.704100303,56730693.087615244
2020-05-11,107569044.23263916,18230179.27259933,18228156.975645244,48158612.56358965,16704230.7458332,38601572.93117182,66388791.83618897
2020-05-12,88814444.79921307,18756806.202108514,18754599.433426093,56074832.71462701,18227972.503916908,48913325.284051366,74831638.91673553
2020-05-13,70784345.92602758,18032369.390216067,18030098.873185486,62822590.01881045,18754535.68507793,60920103.664945856,80854959.40902652
