,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,Sweden,Switzerland,United States,Brazil,South Korea
27,0.0,1.5320150078641393e-08,0.0,1.9847233199763658e-07,2.0776343075317804e-05,1.1670434386317072e-05,0.0,0.0,7.6259864964577295e-06,0.0,3.6225166583898434e-07,0.0
28,0.0,1.5320150078641393e-08,0.0,2.8116913699665185e-07,2.5328463187325638e-05,1.372992280743185e-05,0.0,0.0,9.936891495384314e-06,0.0,4.32820172171254e-07,0.0
29,0.0,1.5320150078641393e-08,0.0,3.4732658099586406e-07,3.186484078405483e-05,1.5691340351350686e-05,0.0,0.0,1.190116074447191e-05,0.0,5.363206481252495e-07,0.0
30,0.0,1.5320150078641393e-08,0.0,4.796414689942885e-07,3.729236860991033e-05,1.8339254035641113e-05,0.0,0.0,1.8602785241359006e-05,0.0,6.398211240792451e-07,0.0
31,0.0,1.5320150078641393e-08,0.0,5.788776349931067e-07,4.499595649176974e-05,2.0496813333951832e-05,0.0,0.0,2.276241423942686e-05,0.0,7.480261671220585e-07,0.0
32,0.0,1.5320150078641393e-08,0.0,8.600467719897586e-07,5.042348431762523e-05,2.412543579020168e-05,0.0,0.0,2.715313373738737e-05,0.0,9.456179848524136e-07,1.9504894392407227e-08
33,0.0,3.0640300157282787e-08,0.0,1.3231488799842439e-06,6.06365743125146e-05,,2.1388186102799365e-08,0.0,2.9695129236206612e-05,0.0,1.1338006684051328e-06,3.9009788784814455e-08
34,0.0,3.0640300157282787e-08,0.0,1.7697116269789264e-06,6.845688322288704e-05,,6.41645583083981e-08,0.0,3.4085848734167124e-05,0.0,1.4066655595565755e-06,9.752447196203614e-08
35,0.0,3.0640300157282787e-08,0.0,2.4478254279708515e-06,7.814472858946781e-05,,1.0694093051399683e-07,0.0,4.30983782299808e-05,0.0,1.6889395848856543e-06,1.365342607468506e-07
36,0.0,3.0640300157282787e-08,0.0,3.258254116961201e-06,8.678208469943138e-05,,1.0694093051399683e-07,0.0,4.367610447971245e-05,0.0,,1.5603915513925782e-07
37,2.5885240718933226e-07,3.0640300157282787e-08,0.0,3.85367111295411e-06,,,1.0694093051399683e-07,0.0,6.193225397123246e-05,0.0,,2.145538383164795e-07
38,2.5885240718933226e-07,4.596045023592418e-08,0.0,6.053406125927916e-06,,,5.988692108783822e-07,0.0,7.013596671742184e-05,0.0,,2.3405873270888674e-07
39,2.5885240718933226e-07,6.128060031456557e-08,0.0,7.674263503908615e-06,,,7.485865135979777e-07,0.0,,0.0,,2.5356362710129395e-07
40,3.4513654291910966e-07,6.128060031456557e-08,0.0,1.0436336790875724e-05,,,1.0052447468315702e-06,9.901705766852455e-08,,3.021123876390028e-09,,3.1207831027851564e-07
41,3.4513654291910966e-07,1.0724105055048977e-07,0.0,1.3678051546837122e-05,,,1.7966076326351466e-06,9.901705766852455e-08,,6.042247752780056e-09,,3.3158320467092287e-07
42,4.3142067864888706e-07,1.3788135070777254e-07,2.3870921809661745e-08,1.68039907757999e-05,,,2.5879705184387233e-06,9.901705766852455e-08,,1.8126743258340167e-08,,4.29107676632959e-07
43,4.3142067864888706e-07,1.5320150078641393e-07,2.3870921809661745e-08,2.0971909747750267e-05,,,2.9087933099807136e-06,9.901705766852455e-08,,2.719011488751025e-08,,5.461370429874024e-07
44,1.2079779002168838e-06,2.910828514941865e-07,3.580638271449261e-08,2.3833219200716193e-05,,,6.159797597606217e-06,2.970511730055737e-07,,3.32323626402903e-08,,6.241566205570313e-07
45,1.8119668503253257e-06,4.5960450235924185e-07,5.967730452415435e-08,2.995278277064332e-05,,,6.608949505765004e-06,6.931194036796719e-07,,3.6253486516680334e-08,,6.82671303734253e-07
46,3.1925130220017643e-06,5.05564952595166e-07,5.967730452415435e-08,3.569194103757498e-05,,,1.0501599376474488e-05,7.921364613481964e-07,,4.229573426946039e-08,,8.192055644811036e-07
47,5.781037093895087e-06,7.353672037747869e-07,9.548368723864698e-08,4.143109930450664e-05,,,1.279013528947402e-05,9.901705766852455e-07,,5.135910589863047e-08,,8.58215353265918e-07
48,6.471310179733306e-06,9.34529154797125e-07,1.4322553085797045e-07,4.925421705741348e-05,,,1.6404738740847114e-05,9.901705766852455e-07,,6.344360140419059e-08,,9.752447196203613e-07
49,7.593003944220412e-06,1.2102918562126703e-06,1.5516099176280133e-07,5.6349602926328986e-05,,,2.1430962475004965e-05,1.5842729226963928e-06,,7.854922078614072e-08,,9.947496140127686e-07
50,1.0526664559032845e-05,1.3941336571563669e-06,1.5516099176280133e-07,6.668670355120589e-05,,,2.8360734772311957e-05,1.980341153370491e-06,,8.459146853892078e-08,,1.0532642971899903e-06
51,1.535857615990038e-05,1.945659059987457e-06,1.5516099176280133e-07,7.983549554604931e-05,,,3.678768009681491e-05,2.0793582110390157e-06,,9.063371629170083e-08,,1.1702936635444336e-06
52,1.8982509860551032e-05,2.2673822116389263e-06,5.132248189077275e-07,9.05695408349215e-05,,,4.666902207630821e-05,2.475426441713114e-06,,1.208449550556011e-07,,1.287323029898877e-06
53,2.4936115225905674e-05,2.681026263762244e-06,5.370957407173893e-07,0.00010050969679580313,,,5.766254973314709e-05,3.5646140760668842e-06,,1.419928221903313e-07,,1.3068279242912843e-06
54,3.0458299912611427e-05,3.7381166191885e-06,7.996758806236685e-07,0.0001127984420186568,,,7.344703107701302e-05,4.158716422078031e-06,,1.722040609542316e-07,,1.4043523962533204e-06
55,3.718846249953406e-05,5.699095829254599e-06,1.121933325054102e-06,0.00012412790430352188,,,8.74562929743466e-05,6.535125806122621e-06,,2.084575474709119e-07,,1.462867079430542e-06
56,4.426376162937581e-05,6.8940675353886275e-06,1.5038680740086899e-06,0.0001350438825633919,,,0.00010390380808739932,9.109569305504259e-06,,2.567955294931524e-07,,1.462867079430542e-06
57,6.083031568949308e-05,8.609924344196464e-06,1.7783836748197998e-06,0.00015110360209420065,,,0.00012169877892492838,1.0099739882189505e-05,,3.26281378650123e-07,,1.5798964457849855e-06
58,7.14432643842557e-05,1.03257811530043e-05,2.3632212591565124e-06,0.00016577401530102595,,,0.00013962207887907425,1.0891876343537701e-05,,4.531685814585042e-07,,1.6774209177470216e-06
59,8.723326122280497e-05,1.31753290676316e-05,3.0196716089222105e-06,0.00017831085093887667,,,0.00015698928599454734,1.4456490419604585e-05,,4.531685814585042e-07,,1.7749453897090578e-06
