,China,France,Germany,Iran,Italy,Spain,Switzerland,Turkey,United Kingdom,United States,Brazil,South Korea
18,1.3895414194693904e-09,0.0,0.0,2.3097175783306487e-06,0.0,0.0,1.2709977494096215e-06,2.5373768955731984e-06,0.0,0.0,4.704567088817978e-09,0.0
19,2.0843121292040856e-09,0.0,0.0,2.821665288991566e-06,0.0,0.0,1.50208824930228e-06,3.2843616825877383e-06,0.0,0.0,1.8818268355271912e-08,0.0
20,2.0843121292040856e-09,0.0,0.0,3.464576367495973e-06,0.0,0.0,1.6176334992486093e-06,4.221056891701209e-06,0.0,0.0,2.822740253290787e-08,0.0
21,4.168624258408171e-09,1.5320150078641393e-08,0.0,4.214639292417782e-06,0.0,0.0,2.1953597489802554e-06,5.039183087002848e-06,0.0,0.0,5.175023797699776e-08,0.0
22,1.1811102065489818e-08,1.5320150078641393e-08,0.0,5.107571345896125e-06,0.0,0.0,2.426450248872914e-06,,0.0,0.0,8.468220759872361e-08,0.0
23,1.1811102065489818e-08,1.5320150078641393e-08,0.0,6.119561006504915e-06,3.30787219996061e-08,0.0,3.8129932482288647e-06,,0.0,0.0,1.1761417722044946e-07,0.0
24,1.8064038453102075e-08,1.5320150078641393e-08,0.0,7.2744197956702395e-06,3.30787219996061e-08,0.0,4.968445747692157e-06,,0.0,0.0,1.5995528101981127e-07,0.0
25,2.84855990991225e-08,1.5320150078641393e-08,0.0,8.619770756244276e-06,9.923616599881829e-08,0.0,6.470533996994437e-06,,0.0,0.0,2.16410086085627e-07,0.0
26,3.890715974514293e-08,1.5320150078641393e-08,0.0,1.0155613888227028e-05,1.8193297099783355e-07,0.0,6.932714996779754e-06,,0.0,0.0,2.6816032406262474e-07,0.0
27,5.627642748851031e-08,1.5320150078641393e-08,0.0,1.1762891584488046e-05,1.9847233199763658e-07,0.0,7.6259864964577295e-06,,0.0,0.0,3.6225166583898434e-07,0.0
28,7.364569523187769e-08,1.5320150078641393e-08,0.0,1.35130384093056e-05,2.8116913699665185e-07,0.0,9.936891495384314e-06,,0.0,0.0,4.32820172171254e-07,0.0
29,9.170973368497976e-08,1.5320150078641393e-08,0.0,1.5286996755549242e-05,3.4732658099586406e-07,0.0,1.190116074447191e-05,,0.0,0.0,5.363206481252495e-07,0.0
30,1.1811102065489819e-07,1.5320150078641393e-08,0.0,1.7060955101792884e-05,4.796414689942885e-07,0.0,1.8602785241359006e-05,,0.0,0.0,6.398211240792451e-07,0.0
31,1.4798616117349007e-07,1.5320150078641393e-08,0.0,1.852536366949737e-05,5.788776349931067e-07,0.0,2.276241423942686e-05,,0.0,0.0,7.480261671220585e-07,0.0
32,1.7994561382128605e-07,1.5320150078641393e-08,0.0,2.006120680148012e-05,8.600467719897586e-07,0.0,2.715313373738737e-05,,0.0,0.0,9.456179848524136e-07,1.9504894392407227e-08
33,2.1121029575934734e-07,3.0640300157282787e-08,0.0,2.157323841203678e-05,1.3231488799842439e-06,2.1388186102799365e-08,2.9695129236206612e-05,,0.0,0.0,1.1338006684051328e-06,3.9009788784814455e-08
34,2.5081222621422494e-07,3.0640300157282787e-08,0.0,2.302574121902822e-05,1.7697116269789264e-06,6.41645583083981e-08,3.4085848734167124e-05,,0.0,0.0,1.4066655595565755e-06,9.752447196203614e-08
35,2.9597232234698014e-07,3.0640300157282787e-08,0.0,2.4728265000993596e-05,2.4478254279708515e-06,1.0694093051399683e-07,4.30983782299808e-05,,1.4730576865299067e-08,0.0,1.6889395848856543e-06,1.365342607468506e-07
36,3.4182718918947005e-07,3.0640300157282787e-08,0.0,2.6597469432941595e-05,3.258254116961201e-06,1.0694093051399683e-07,4.367610447971245e-05,,1.4730576865299067e-08,0.0,,1.5603915513925782e-07
37,3.9185068029036807e-07,3.0640300157282787e-08,0.0,2.8311898975620013e-05,3.85367111295411e-06,1.0694093051399683e-07,6.193225397123246e-05,,2.9461153730598135e-08,0.0,,2.145538383164795e-07
