,Brazil,India,Mexico,Russia,South Africa,United States,South Korea
72,0.09645179472374589,0.043286013497789155,0.14967062893313215,0.012498365889403396,0.030465116279069768,0.07061290939880316,0.023325247247620823
73,0.09441885203009324,0.04252862186149329,0.15190656253313073,0.012692496190917547,0.030661556407265457,0.0707311282395455,0.02330350484712901
74,0.09401858304297328,0.041811810458671717,0.15182903285376131,0.012853695275424758,0.03015101635575064,0.06992329094267793,0.02346805736636245
75,0.0923334120053497,0.04120072375641444,0.15057495162089976,0.013043450877646006,0.03036024844720497,0.0695403369079906,0.023623511904761904
76,0.09024106498593665,0.04062763466042155,0.1484906462585034,0.013398764887516542,0.030126973715035376,0.06867459787693182,0.023696682464454975
77,0.0877909588824984,0.04032609759787823,0.14470999708539783,0.013561310222042265,0.030243988841163708,0.06833955315533857,0.023780771017185322
78,0.08627901201920751,0.03973085008484808,0.14298572533577103,0.013623392872175824,0.029853906415413932,0.06840075551588866,0.02376090588453685
79,0.08425156396385505,0.039735893398134305,0.14266362660944207,0.013736924456818523,0.03111605670952852,0.06847858909672205,0.023747680890538032
80,0.08299990212954594,0.039160372493705825,0.15031465080809506,0.013901231433286785,0.03053552839572811,0.06834360669927413,0.023719077179653478
81,0.08070790807547128,0.038849076308113364,0.15411547911547913,0.014068738534585087,0.030945516914206474,0.06820314830492963,0.02370150911952597
82,0.07985372021189764,0.03850598431696244,0.155624091601971,0.014203893407483426,0.031053351573187414,0.06777489211868891,0.023880044427989633
83,0.07974756020878171,0.03831531228791503,0.1543902550507359,0.014261279645428677,0.030742403203410082,0.06735002808695148,0.02396816583379604
84,0.07903433773411264,0.038368501828424904,0.15109635577516986,0.014436109184895669,0.030535752531897317,0.06703162511610516,0.024051803885291396
85,0.07763133274613337,0.038287323807743114,0.15040402418793813,0.014436617115485545,0.03143464213988416,0.06709738358088242,0.024025133986324155
86,0.07529785065976446,0.03822447816853991,0.15051476481104742,0.014392182762161407,0.03244722439405786,0.06718624392951697,0.024169741697416973
87,0.07208490490329829,0.038041538790949965,0.15169205239139452,0.014492343200209562,0.03224516988674217,0.06679084187831347,0.024094169578811844
88,0.07080716870383355,0.037447188180649224,0.15087055261165783,0.014708161664858412,0.031599333202588745,0.06651461794641392,0.024108534237785313
89,0.07053701512213005,0.03757309794369571,0.1494919382691364,0.014808164893858193,0.031173734862089606,0.0661407849666595,0.02404901243599122
90,0.06915227869776353,0.03730462635166053,0.14849629023314762,0.014927728895548135,0.030952950644943772,0.06572694798141189,0.02399197226783434
91,0.06794334401797211,0.03735034736468451,0.1463754130978711,0.014888083211064577,0.03065134099616858,0.06510680777781755,0.024019652442907834
92,0.06654231687406087,0.037474092693036996,0.1463755807563571,0.014856534373376269,0.030818215766819316,0.06471154701655406,0.023960791432201853
93,0.06477308977610946,0.03753956147504616,0.14730372241574888,0.014876494257937557,0.030665584721933915,0.06472391392741451,0.024100752015946362
94,0.06349234658617169,0.03728287136902542,0.14769630914045084,0.015010726363360968,0.03020515688998755,0.0644251807058576,0.02407239819004525
95,0.0626404031467652,0.037098955227952035,0.14739427053010284,0.015148169680567682,0.029657833629285618,0.06421494735343448,0.02413014008133755
96,0.06214059133856932,0.03713456214975356,0.14651283082847208,0.015504462259869914,0.02956707090606682,0.06395693517474287,0.024282361437082504
97,0.06117757466839215,0.04303590603905518,0.14563739575303106,0.015587879309299738,0.02855360837288548,0.06352275202983378,0.02421242124212421
