date,Belgium,Brazil,France,Germany,Italy,Netherlands,Portugal,South Korea,Spain,Sweden,Switzerland,United States
2020-03-24,3743.0,1891.0,19856.0,29212.0,63927.0,4749.0,2060.0,9037.0,33089.0,2016.0,8015.0,46442.0
2020-03-25,4269.0,2201.0,22302.0,31554.0,69176.0,5560.0,2362.0,9137.0,39673.0,2272.0,8789.0,55231.0
2020-03-26,4937.0,2433.0,25233.0,36508.0,74386.0,6412.0,2995.0,9241.0,47610.0,2510.0,9714.0,69194.0
2020-03-27,6235.0,2915.0,29155.0,42288.0,80539.0,7431.0,3544.0,9332.0,56188.0,2806.0,10714.0,85991.0
2020-03-28,7284.0,3417.0,32964.0,48582.0,86498.0,8603.0,4268.0,9478.0,64059.0,3046.0,12104.0,104686.0
2020-03-29,9134.0,3904.0,37575.0,52547.0,92472.0,9762.0,5170.0,9583.0,72248.0,3447.0,13152.0,124665.0
2020-03-30,10836.0,4256.0,40174.0,57298.0,97689.0,10866.0,5962.0,9661.0,78797.0,3700.0,14274.0,143025.0
2020-03-31,11899.0,4579.0,44550.0,61913.0,101739.0,11750.0,6408.0,9786.0,85195.0,4028.0,15412.0,164620.0
2020-04-01,12775.0,5717.0,52128.0,67366.0,105792.0,12595.0,7443.0,9786.0,94417.0,4435.0,16108.0,189618.0
2020-04-02,13964.0,6836.0,56989.0,73522.0,110574.0,13614.0,8251.0,9976.0,102136.0,4947.0,17070.0,216721.0
2020-04-03,15348.0,7910.0,59105.0,73522.0,115242.0,14697.0,9034.0,10062.0,110238.0,5466.0,18844.0,245540.0
2020-04-04,16770.0,9056.0,,79696.0,119827.0,15723.0,9886.0,10156.0,117710.0,6078.0,19706.0,277965.0
