Country Name,EN.ATM.CO2E.PC,NY.GDP.MKTP.CD,NY.GNP.PCAP.CD,SE.PRM.ENRR,SE.PRM.TENR,SP.DYN.LE00.IN,SP.POP.TOTL
Sub-Saharan Africa,0.849177690461,1709948446225.32,1517.05368579275,97.83594000000001,78.37222,60.880002370002394,1078306520.0
Sub-Saharan Africa (IDA & IBRD countries),0.849177690461,1709948446225.32,1517.05368579275,97.83594000000001,78.37222,60.880002370002394,1078306520.0
Sub-Saharan Africa (excluding high income),0.84874859980702,1708356764548.15,1515.78768836464,97.83581,78.37147,60.8787774728612,1078209758.0
Sudan,0.299732598319775,40851536133.7642,1560.0,76.81606,61.69883000000001,65.095,41801533.0
Suriname,3.5989122910389604,3590753768.84422,5210.0,108.84212,86.02531,71.57,575991.0
Sweden,4.47818217821374,556086488936.559,55490.0,126.57538000000001,99.42418,82.5121951219512,10175214.0
Switzerland,4.31156299409097,705140354166.312,84410.0,105.19068,99.6231,83.55121951219509,8513227.0
Syrian Arab Republic,1.64053906266363,40405006007.2086,1820.0,81.66355,72.24962,71.779,16906283.0
Tajikistan,0.628730158480124,7522947810.12326,1010.0,100.85744,99.09613,70.87899999999999,9100837.0
Tanzania,0.231426985468443,58001200572.3965,1020.0,94.16869,82.35094000000001,65.015,56318348.0
Thailand,4.62037714609842,504992757704.997,6610.0,99.77436,98.08255,76.931,69428524.0
Timor-Leste,0.39969650805437296,2581000000.0,1820.0,115.30781,95.41421,69.26,1267972.0
Togo,0.36731662958109995,5358722982.70893,660.0,123.76463000000001,94.69200000000001,60.76,7889094.0
Tonga,1.19779665043354,450353313.884584,4300.0,116.33896999999999,98.88343,70.801,103197.0
Trinidad and Tobago,33.966414453933,23808146747.7994,15950.0,106.21008,98.77982,73.38,1389858.0
Tunisia,2.60593240600076,39871132267.9361,3500.0,115.44596999999999,98.84383000000001,76.505,11565204.0
Turkey,4.47977349568748,771350330455.2671,10420.0,93.15498000000001,94.8769,77.437,82319724.0
Turkmenistan,12.5170961201011,40761142857.1429,6740.0,88.40043,,68.07300000000001,5850908.0
Turks and Caicos Islands,5.80598829483446,1022312010.0,26740.0,,,,37665.0
Tuvalu,1.00264309150565,42587778.47246621,5430.0,86.02989000000001,87.89088000000001,,11508.0
Uganda,0.141664527352892,27461440192.3549,620.0,102.70470999999999,95.64356,62.973,42723139.0
Ukraine,5.02074706440171,130832374404.88199,2660.0,99.04094,91.99105,71.5826829268293,44622516.0
United Arab Emirates,22.9396063130991,414178942592.479,40880.0,108.39706000000001,98.74311999999999,77.814,9630959.0
United Kingdom,6.4974404904511704,2855296731521.96,41770.0,101.15456,99.56963,81.35609756097558,66460344.0
United States,16.502837239406,20544343456936.5,63080.0,101.82144,95.55776,78.5390243902439,326687501.0
Upper middle income,6.5275718210192295,24446132587811.4,8869.40587350731,102.8608,96.12099,75.5225332493901,2655635719.0
Uruguay,1.98424083514046,59596885024.3487,15650.0,108.45943999999999,99.64057,77.77,3449299.0
Uzbekistan,3.4207227458490097,50499921557.5105,2020.0,104.23298,96.84487,71.57300000000001,32955400.0
Vanuatu,0.583633965924938,914301119.28749,3130.0,109.29186999999999,92.14771999999999,70.32300000000001,292680.0
"Venezuela, RB",6.164731034316571,482359318767.70294,13080.0,97.15034,89.68011,72.128,28870195.0
Vietnam,1.81989397652576,245213686369.15698,2360.0,110.59481000000001,100.0,75.317,95540395.0
Virgin Islands (U.S.),,3855000000.0,,,,79.5682926829268,106977.0
West Bank and Gaza,0.598167688242572,14615900000.0,3710.0,98.60410999999999,97.10722,73.895,4569087.0
World,4.98070685188463,85910601849095.8,11123.7729413762,103.9455,90.45493,72.38300866126708,7594270356.0
"Yemen, Rep.",0.8789956119400608,26914402223.7828,1460.0,93.63748000000001,84.39664,66.096,28498687.0
Zambia,0.29241222245577597,26720073435.9014,1430.0,98.71552,85.10354,63.51,17351822.0
Zimbabwe,0.8847212943322951,31000519447.175,1790.0,109.89278999999999,94.63244,61.195,14439018.0
