date,location,new_cases,new_deaths,total_cases,total_deaths,countriesAndTerritories,location_demography,continent,population_year,population,total_cases_per_capita,total_deaths_per_capita,EN.ATM.CO2E.PC,NY.GDP.MKTP.CD,NY.GNP.PCAP.CD,SE.PRM.ENRR,SE.PRM.TENR,SP.DYN.LE00.IN,SP.POP.TOTL
2020-03-07,Ireland,5,0,18,0,Ireland,Ireland,Europe,2020.0,4937796.0,3.6453510837628772e-06,0.0,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-08,Ireland,1,0,19,0,Ireland,Ireland,Europe,2020.0,4937796.0,3.8478705884163706e-06,0.0,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-09,Ireland,2,0,21,0,Ireland,Ireland,Europe,2020.0,4937796.0,4.252909597723356e-06,0.0,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-11,Ireland,14,0,35,0,Ireland,Ireland,Europe,2020.0,4937796.0,7.088182662872261e-06,0.0,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-12,Ireland,8,1,43,1,Ireland,Ireland,Europe,2020.0,4937796.0,8.708338700100207e-06,2.025195046534932e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-13,Ireland,27,0,70,1,Ireland,Ireland,Europe,2020.0,4937796.0,1.4176365325744522e-05,2.025195046534932e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-14,Ireland,21,0,91,1,Ireland,Ireland,Europe,2020.0,4937796.0,1.8429274923467878e-05,2.025195046534932e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-15,Ireland,38,1,129,2,Ireland,Ireland,Europe,2020.0,4937796.0,2.612501610030062e-05,4.050390093069864e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-16,Ireland,40,0,169,2,Ireland,Ireland,Europe,2020.0,4937796.0,3.422579628644035e-05,4.050390093069864e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-17,Ireland,54,0,223,2,Ireland,Ireland,Europe,2020.0,4937796.0,4.516184953772898e-05,4.050390093069864e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-18,Ireland,69,0,292,2,Ireland,Ireland,Europe,2020.0,4937796.0,5.9135695358820006e-05,4.050390093069864e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-19,Ireland,74,0,366,2,Ireland,Ireland,Europe,2020.0,4937796.0,7.41221387031785e-05,4.050390093069864e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-20,Ireland,191,1,557,3,Ireland,Ireland,Europe,2020.0,4937796.0,0.0001128033640919957,6.075585139604795e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-21,Ireland,126,0,683,3,Ireland,Ireland,Europe,2020.0,4937796.0,0.00013832082167833585,6.075585139604795e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-22,Ireland,102,0,785,3,Ireland,Ireland,Europe,2020.0,4937796.0,0.00015897781115299214,6.075585139604795e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
